Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Position,Bio,Picture,Twitter Profile Link,Facebook Profile Link,Instagram Profile Link
John Lovell,john-lovell,614ba59ab0697453f183d34f,614bed520ba0022ee0d23e6a,Thu Sep 23 2021 02:58:26 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 02:58:26 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 16:02:42 GMT+0000 (Coordinated Universal Time),,,https://uploads-ssl.webflow.com/614ba59ab069745c0383d354/614bed44d3db756445becedd_john-lovell.png,,,
Mike Glover,mike-glover,614ba59ab0697453f183d34f,614bf25fda5179aea366b759,Thu Sep 23 2021 03:19:59 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 03:19:59 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 16:02:42 GMT+0000 (Coordinated Universal Time),,,https://uploads-ssl.webflow.com/614ba59ab069745c0383d354/614bf2430062b66311edbc12_mike1.jpg,,,
Tony Sentmanat,tony-sentmanat,614ba59ab0697453f183d34f,614cf6e3aa8250b29b288c6a,Thu Sep 23 2021 21:51:31 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 21:51:31 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 22:29:42 GMT+0000 (Coordinated Universal Time),Director of Training,"<p><br></p><p>Tony Sentmanat is a Marine Corps Veteran and retired Law Enforcement SWAT Operator with over 22 years of Real World experience. He is a life long practitioner in Mixed Martial Arts with extensive experience as a Law Enforcement Combative's Trainer and has been a Firearms Instructor for over 20 years. Tony also has 20 years of experience as a functional strength and conditioning trainer specializing in functional fitness for combat athletes, and is an Elite Powerlifter holding multiple state records. Upon finishing his military service he started his law enforcement career as a State Correctional Officer, and then quickly transferred to become a Law Enforcement Officer. Tony spent most of his career in SWAT where he was involved in over 800 real world operations before retiring. Throughout his years of service Tony gained extensive experience in undercover surveillance, tactical operations, fugitive recovery, &nbsp;felony crime investigations and worked many high profile cases with Federal Agencies from around the country. During his time as a Law Enforcement Officer Tony received numerous awards including:</p><ul><li>Combat Cross (Multiple)</li><li>Officer of the Year</li><li>Crime Suppression Officer of the Year</li><li>Miami-Dade Police Chief's Officer of the Month</li><li>Officer of the Month Awards (Multiple)</li><li>Officer of the Quarter Awards (Multiple)</li><li>Over 40 Commendations for Meritorious Service </li></ul><p><br></p><p>In 2016 he retired from Law Enforcement to pursue is life long dream of starting his own business, where he has been able to share with the world the experiences he has gained throughout his life and career. Tony has since become a public figure and travels the world teaching Fitness Seminars, Tactical Training to Civilians, Military personnel and Police Departments. He also shares with the world his training philosophy and programs through online and social media channels, while working with several companies in the tactical and fitness industry in marketing, Product design and Consulting. Last but not least he is also the proud owner of RealWorld Strength and Fitness/KO Zone Gym located in Miami Fl where he spends most of his time training when he isn't Traveling. </p><p>‍</p>",https://uploads-ssl.webflow.com/614ba59ab069745c0383d354/614cf6e1482307071e35238b_About_001.jpeg,,,
Tu Lam,tu-lam,614ba59ab0697453f183d34f,614ce5893b9a78c9f38c1c67,Thu Sep 23 2021 20:37:29 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 20:39:21 GMT+0000 (Coordinated Universal Time),Thu Sep 23 2021 22:29:42 GMT+0000 (Coordinated Universal Time),Owner,,https://uploads-ssl.webflow.com/614ba59ab069745c0383d354/614ce5f2f7fc7c606916341a_roninpostcard1.jpeg,,,
